,Sorted Json formula,Site,Distance,Element
484,"{""A"": {""Ni"": 1.0}, ""B"": {""Co"": 0.2, ""Cr"": 0.2, ""Fe"": 0.2, ""Mn"": 0.2, ""Ni"": 0.2}, ""C"": {""O"": 1.0}}",B,0.12286365989528913,Mn
85,"{""A"": {""Co"": 0.2, ""Cr"": 0.2, ""Fe"": 0.2, ""Mn"": 0.2, ""Ni"": 0.2}, ""B"": {""Fe"": 1.0}, ""C"": {""O"": 1.0}}",A,0.12286365989528913,Mn
86,"{""A"": {""Co"": 0.2, ""Cr"": 0.2, ""Fe"": 0.2, ""Mn"": 0.2, ""Ni"": 0.2}, ""B"": {""Dy"": 0.01, ""Er"": 0.01, ""Fe"": 0.95, ""Gd"": 0.01, ""Ho"": 0.01, ""Tb"": 0.01}, ""C"": {""O"": 1.0}}",A,0.12286365989528913,Mn
77,"{""A"": {""Co"": 0.2, ""Cr"": 0.2, ""Fe"": 0.2, ""Mn"": 0.2, ""Ni"": 0.2}, ""B"": {""O"": 1.0}}",A,0.12286365989528913,Mn
51,"{""A"": {""Nd"": 1.0}, ""B"": {""Co"": 0.2, ""Cr"": 0.2, ""Fe"": 0.2, ""Mn"": 0.2, ""Ni"": 0.2}, ""C"": {""O"": 1.0}}",B,0.12286365989528913,Mn
53,"{""A"": {""Y"": 1.0}, ""B"": {""Co"": 0.2, ""Cr"": 0.2, ""Fe"": 0.2, ""Mn"": 0.2, ""Ni"": 0.2}, ""C"": {""O"": 1.0}}",B,0.12286365989528913,Mn
415,"{""A"": {""Li"": 1.0}, ""B"": {""Co"": 0.2, ""Cr"": 0.2, ""Fe"": 0.2, ""Mn"": 0.2, ""Ni"": 0.2}, ""C"": {""O"": 1.0}}",B,0.12286365989528913,Mn
221,"{""A"": {""Mo"": 0.25, ""Nb"": 0.25, ""Ta"": 0.25, ""V"": 0.25}, ""B"": {""Al"": 0.5, ""Si"": 0.5}}",A,0.12220515259786013,V
129,"{""A"": {""Co"": 0.25, ""Fe"": 0.25, ""Mn"": 0.25, ""Ni"": 0.25}, ""B"": {""Cl"": 1.0}}",A,0.12023971331969519,Mn
477,"{""A"": {""La"": 0.7, ""Sr"": 0.3}, ""B"": {""Co"": 0.25, ""Fe"": 0.25, ""Mn"": 0.25, ""Ni"": 0.25}, ""C"": {""O"": 1.0}}",B,0.12023971331969519,Mn
124,"{""A"": {""Co"": 0.25, ""Fe"": 0.25, ""Mn"": 0.25, ""Ni"": 0.25}, ""B"": {""P"": 1.0}, ""C"": {""S"": 1.0}}",A,0.12023971331969519,Mn
88,"{""A"": {""Eu"": 0.25, ""Gd"": 0.25, ""Nd"": 0.25, ""Sm"": 0.25}, ""B"": {""Zr"": 1.0}, ""C"": {""O"": 1.0}}",A,0.1201671254393214,Nd
590,"{""A"": {""Dy"": 0.2, ""Er"": 0.2, ""Gd"": 0.2, ""Sm"": 0.2, ""Yb"": 0.2}, ""B"": {""Zr"": 1.0}, ""C"": {""O"": 1.0}}",A,0.1168414221795161,Er
557,"{""A"": {""Dy"": 0.25, ""Ho"": 0.25, ""Tm"": 0.25, ""Yb"": 0.25}, ""B"": {""Si"": 1.0}, ""C"": {""O"": 1.0}}",A,0.11436440586677199,Dy
517,"{""A"": {""La"": 0.25, ""Nd"": 0.25, ""Y"": 0.25, ""Yb"": 0.25}, ""B"": {""Ce"": 1.0}, ""C"": {""O"": 1.0}}",A,0.11416013926231638,Y
229,"{""A"": {""Dy"": 0.25, ""Er"": 0.25, ""Ho"": 0.25, ""Yb"": 0.25}, ""B"": {""Si"": 1.0}, ""C"": {""O"": 1.0}}",A,0.11376472694349749,Dy
9,"{""A"": {""Nb"": 0.3333, ""Ti"": 0.3333, ""V"": 0.3333}, ""B"": {""C"": 0.6667, ""N"": 0.1, ""X"": 0.2333}}",A,0.11290157314523896,Ti
247,"{""A"": {""Nb"": 0.25, ""Ta"": 0.25, ""Ti"": 0.25, ""Zr"": 0.25}, ""B"": {""B"": 1.0}}",A,0.11167163506532019,Zr
16,"{""A"": {""Nb"": 0.25, ""Ta"": 0.25, ""Ti"": 0.25, ""Zr"": 0.25}, ""B"": {""C"": 1.0}}",A,0.11167163506532019,Zr
556,"{""A"": {""Dy"": 0.25, ""Er"": 0.25, ""Gd"": 0.25, ""Ho"": 0.25}, ""B"": {""Si"": 1.0}, ""C"": {""O"": 1.0}}",A,0.11027682370600811,Gd
642,"{""A"": {""Dy"": 0.3333, ""Er"": 0.3333, ""Yb"": 0.3333}, ""B"": {""Si"": 1.0}, ""C"": {""O"": 1.0}}",A,0.10934272472732565,Dy
