structure_key,supercell_filename,relaxed_filename,n_atoms_supercell,n_atoms_relaxed,wasserstein_distance_A,prototype,r_first_peak_A,r_centroid_A,norm_relative_first_peak,norm_relative_centroid,norm_minmax,norm_zscore,norm_robust_zscore,norm_percentile,norm_by_prototype_minmax
row400_pyrochlore,row400_pyrochlore.vasp,row400_pyrochlore_relaxed.vasp,352,352,0.0762847621831625,pyrochlore,1.95,3.747673767674302,0.039120390863160256,0.020355230180694895,0.14146451029630744,-0.6114871952960658,-0.6405702298696794,23.660714285714285,0.09606514953398584
row401_pyrochlore,row401_pyrochlore.vasp,row401_pyrochlore_relaxed.vasp,352,352,0.0612244176486511,pyrochlore,1.95,3.747722842850725,0.031397137255718514,0.01633643153880622,0.10794952925690848,-0.7890350511871363,-0.9236923480071462,16.964285714285715,0.0
row402_pyrochlore,row402_pyrochlore.vasp,row402_pyrochlore_relaxed.vasp,352,352,0.0913683048830781,pyrochlore,1.95,3.752765026023959,0.04685554096568108,0.02434692933063344,0.1750311160559702,-0.4336658539931122,-0.3570120052599412,33.482142857142854,0.19227827278951307
row403_pyrochlore,row403_pyrochlore.vasp,row403_pyrochlore_relaxed.vasp,352,352,0.1555126775657332,pyrochlore,4.35,3.781529699632659,0.035750040819708784,0.04112427771778173,0.31777668401538695,0.32253834911695006,0.8488495617776788,76.63690476190477,0.6014348322163184
row404_pyrochlore,row404_pyrochlore.vasp,row404_pyrochlore_relaxed.vasp,352,352,0.151366923582392,pyrochlore,4.35,3.778482317505809,0.03479699392698667,0.040060243998259575,0.3085508083505046,0.2736636551079678,0.770912789059718,74.40476190476191,0.5749903856481703
row405_pyrochlore,row405_pyrochlore.vasp,row405_pyrochlore_relaxed.vasp,352,352,0.1304322535653597,pyrochlore,2.6500000000000004,3.775470834109659,0.049219718326550824,0.03454728146406634,0.26196322417677537,0.026862808899321886,0.3773581725535031,64.28571428571429,0.44145478153085693
row406_pyrochlore,row406_pyrochlore.vasp,row406_pyrochlore_relaxed.vasp,352,352,0.1452752565036268,pyrochlore,1.95,3.781480805788186,0.07450013154032144,0.03841755755609253,0.2949945376971141,0.20184840372653096,0.6563944470406432,72.76785714285714,0.5361335781234928
row407_pyrochlore,row407_pyrochlore.vasp,row407_pyrochlore_relaxed.vasp,352,352,0.1533541855301779,pyrochlore,4.35,3.7821981245062615,0.03525383575406389,0.040546312086757005,0.31297322022479734,0.29709167809341575,0.8082716828527401,75.44642857142857,0.5876664977875561
row408_pyrochlore,row408_pyrochlore.vasp,row408_pyrochlore_relaxed.vasp,352,352,0.1875415900405697,pyrochlore,2.1500000000000004,3.7971645462338026,0.08722864653049751,0.0493899033758181,0.38905316722245187,0.7001302908815463,1.4509668321186946,86.90476190476191,0.8057370816937693
row409_pyrochlore,row409_pyrochlore.vasp,row409_pyrochlore_relaxed.vasp,352,352,0.1422513008407267,pyrochlore,1.95,3.7799780127203824,0.07294938504652652,0.03763283817049269,0.2882650889468656,0.16619869843411542,0.5995465621551308,70.68452380952381,0.5168447263794337
